,year,state
309,2006,OR
310,2006,AZ
311,2006,WY
312,2006,CA
313,2006,WA
314,2006,TX
315,2006,TX
316,2006,CA
317,2006,IN
318,2006,MO
319,2006,NC
320,2006,TX
321,2006,NV
322,2006,CA
323,2006,OK
324,2006,NY
325,2006,ND
326,2006,DE
327,2006,IL
328,2006,WA
329,2006,CA
330,2006,NV
331,2006,MN
332,2006,FL
333,2006,WA
334,2006,FL
335,2006,UT
336,2006,FL
337,2006,NM
338,2006,TX
339,2006,IN
340,2006,PA
341,2006,WI
342,2006,FL
343,2006,AZ
344,2006,FL
345,2006,AZ
346,2006,CA
347,2006,AZ
348,2006,TX
349,2006,CA
350,2006,FL
351,2006,CA
352,2006,FL
353,2006,OK
354,2006,CO
355,2006,AZ
356,2006,NY
357,2006,MI
358,2006,NJ
359,2006,MI
360,2006,FL
361,2006,FL
362,2006,OR
363,2006,FL
364,2006,NY
365,2006,MA
366,2006,NE
367,2006,MN
368,2006,ID
369,2006,FL
370,2006,WA
371,2006,WA
372,2006,PA
373,2006,IL
374,2006,CA
375,2006,IN
376,2006,IA
377,2006,OH
378,2006,DE
379,2006,IL
380,2006,IL
381,2006,CA
382,2006,CA
383,2006,CA
384,2006,CA
385,2006,AR
386,2006,ID
387,2006,CA
388,2006,FL
389,2006,CO
390,2006,CA
391,2006,KS
392,2006,WA
393,2006,TX
394,2006,FL
395,2006,CA
396,2006,NM
397,2006,NM
398,2006,TX
399,2006,TX
400,2006,AZ
401,2006,OH
402,2006,TX
403,2006,AR
404,2006,NJ
405,2006,MO
406,2006,CA
407,2006,CA
408,2006,OK
409,2006,TX
410,2006,TX
411,2006,TX
412,2006,CA
413,2006,CA
414,2006,LA
415,2006,ID
416,2006,NE
417,2006,MD
418,2006,FL
419,2006,IA
420,2006,IA
421,2006,CA
422,2006,CA
423,2006,FL
424,2006,OH
425,2006,MI
426,2006,FL
427,2006,CO
428,2006,KY
429,2006,CA
430,2006,CT
431,2006,ID
432,2006,KY
433,2006,AZ
434,2006,MD
435,2006,MA
436,2006,WA
437,2006,MA
438,2006,TX
439,2006,CA
440,2006,MI
441,2006,TX
442,2006,TX
443,2006,VA
445,2006,NY
446,2006,MN
447,2006,CA
448,2006,PA
449,2006,CA
450,2006,MO
451,2006,AR
452,2006,OR
453,2006,CA
454,2006,TN
455,2006,CA
456,2006,MO
457,2006,AL
458,2006,AR
459,2006,CA
460,2006,TX
461,2006,WA
462,2006,IL
463,2006,MA
464,2006,IN
465,2006,SC
466,2006,OH
467,2006,NC
468,2006,MN
469,2006,TX
470,2006,IL
471,2006,TX
472,2006,CT
473,2006,UT
474,2006,CA
475,2006,KY
476,2006,OH
477,2006,TX
478,2006,FL
479,2006,VT
480,2006,AZ
481,2006,NV
482,2006,DE
483,2006,VA
484,2006,SD
485,2006,MA
486,2006,IL
487,2006,IL
488,2006,CA
489,2006,NC
490,2006,FL
491,2006,WV
492,2006,CA
493,2006,AL
494,2006,CA
495,2006,TX
496,2006,OH
497,2006,NE
498,2006,IA
499,2006,SC
500,2006,VA
501,2006,MO
502,2006,KY
503,2006,VA
504,2006,MO
505,2006,AZ
506,2006,FL
507,2006,NY
508,2006,AR
509,2006,OH
510,2006,AZ
511,2006,IL
512,2006,VA
513,2006,MA
514,2006,TX
515,2006,MA
516,2006,PA
517,2006,OH
518,2006,PA
519,2006,CA
520,2006,FL
521,2006,MA
522,2006,TX
523,2006,IL
524,2006,CA
525,2006,IN
526,2006,IL
527,2006,FL
528,2006,NC
529,2006,NY
530,2006,TN
531,2006,MO
532,2006,WA
533,2006,CA
534,2006,NY
535,2006,KS
536,2006,SC
537,2006,SC
538,2006,NC
539,2006,ID
540,2006,TX
541,2006,PA
542,2006,MI
543,2006,UT
544,2006,NY
545,2006,OR
546,2006,ID
547,2006,TX
548,2006,OK
549,2006,ID
550,2006,ID
551,2006,FL
552,2006,OR
553,2006,KS
554,2006,DE
555,2006,NM
556,2006,SC
557,2006,CO
558,2006,IL
559,2006,TX
560,2006,UT
561,2006,MN
562,2006,MO
563,2006,CA
564,2006,CA
565,2006,FL
566,2006,KY
567,2006,MI
568,2006,CA
569,2006,IL
570,2006,IL
571,2006,CO
572,2006,CA
574,2006,FL
575,2006,CA
576,2006,TX
577,2006,IL
578,2006,WI
579,2006,MN
580,2006,CT
581,2006,TN
582,2006,MT
583,2006,WA
584,2006,MO
585,2006,FL
586,2006,CA
587,2006,VA
588,2006,CA
589,2006,NV
590,2006,WY
591,2006,ID
592,2006,NJ
593,2006,FL
594,2006,FL
595,2006,TX
596,2006,FL
597,2006,FL
598,2006,NJ
599,2006,AZ
600,2006,MI
601,2006,OR
602,2006,MT
603,2006,FL
604,2006,IL
605,2006,NJ
606,2006,IL
607,2006,IL
608,2006,NC
609,2006,TX
610,2006,MO
611,2006,MO
612,2006,TX
613,2006,NC
614,2006,AL
615,2006,TX
616,2006,IL
617,2006,NC
618,2006,NY
619,2006,WA
620,2006,TN
621,2006,IN
622,2006,IL
623,2006,WA
624,2006,OR
625,2006,CO
626,2006,KS
627,2006,WA
628,2006,TX
629,2006,OH
630,2006,TX
631,2006,AZ
632,2006,TN
633,2006,WA
634,2006,GA
635,2006,FL
636,2006,FL
637,2006,TX
638,2006,CO
639,2006,MI
640,2006,CA
641,2006,LA
642,2006,IN
643,2006,CA
644,2006,FL
645,2006,TN
646,2006,CA
647,2006,CA
648,2006,MO
649,2006,OH
650,2006,CA
651,2006,WY
652,2006,PA
654,2006,NH
655,2006,AK
656,2006,TX
657,2006,CO
658,2006,NV
659,2006,NC
660,2006,NC
661,2006,CA
662,2006,IL
663,2006,NJ
664,2006,FL
665,2006,NY
666,2006,ID
667,2006,CT
668,2006,CO
669,2006,CA
670,2006,TX
671,2006,RI
672,2006,TX
673,2006,WA
674,2006,TX
675,2006,CA
676,2006,OR
677,2006,NM
678,2006,WA
679,2006,FL
680,2006,PA
681,2006,PA
682,2006,IL
683,2006,MI
684,2006,PA
685,2006,CA
686,2006,FL
687,2006,CA
688,2006,CA
689,2006,CO
690,2006,MN
691,2006,MA
692,2006,NM
693,2006,MO
694,2006,GA
695,2006,NJ
696,2006,OH
697,2006,NV
698,2006,ID
699,2006,FL
700,2006,CA
701,2006,IL
702,2006,AZ
703,2006,OH
704,2006,NY
706,2006,NJ
707,2006,MD
708,2006,AZ
709,2006,HI
710,2006,PA
711,2006,DE
712,2006,CA
713,2006,SC
714,2006,IN
715,2006,MS
716,2006,NY
717,2006,CT
718,2006,NY
719,2006,CA
720,2006,OH
721,2006,WA
722,2006,TX
723,2006,FL
724,2006,MD
725,2006,IL
726,2006,AZ
727,2006,CO
728,2006,TX
729,2006,WI
730,2006,GA
731,2006,KS
732,2006,FL
733,2006,GA
734,2006,OH
735,2006,WA
736,2006,MO
737,2006,TX
738,2006,PA
739,2006,MI
740,2006,CA
741,2006,WI
742,2006,KY
743,2006,VA
744,2006,MA
745,2006,FL
746,2006,VA
747,2006,MO
748,2006,MA
749,2006,ME
750,2006,FL
751,2006,AZ
752,2006,WA
753,2006,WA
754,2006,OR
755,2006,TX
756,2006,CA
757,2006,CA
758,2006,CA
759,2006,OK
760,2006,FL
761,2006,CA
762,2006,FL
763,2006,TN
764,2006,MI
765,2006,TX
766,2006,WY
767,2006,AZ
768,2006,CA
769,2006,MN
770,2006,WA
771,2006,MI
772,2006,MN
773,2006,TX
774,2006,TX
775,2006,TN
776,2006,MA
777,2006,MI
778,2006,IN
779,2006,CA
780,2006,CO
781,2006,FL
782,2006,CA
783,2006,CA
784,2006,FL
785,2006,MO
786,2006,FL
787,2006,CO
788,2006,IL
789,2006,MI
790,2006,FL
791,2006,NY
792,2006,OR
793,2006,CA
794,2006,CA
795,2006,MN
796,2006,MA
797,2006,NJ
798,2006,SC
799,2006,OR
800,2006,CA
801,2006,WA
802,2006,HI
803,2006,CA
804,2006,VA
805,2006,OH
806,2006,NY
807,2006,FL
808,2006,MI
809,2006,OK
810,2006,IN
811,2006,IL
812,2006,IL
813,2006,FL
814,2006,CA
815,2006,NV
816,2006,OR
817,2006,CA
818,2006,MO
819,2006,MO
820,2006,MO
821,2006,PA
822,2006,VA
823,2006,CA
824,2006,NC
825,2006,CA
826,2006,CA
827,2006,WI
828,2006,PA
829,2006,NE
830,2006,IL
831,2006,PA
832,2006,CA
833,2006,FL
834,2006,FL
835,2006,NY
836,2006,WI
837,2006,CA
838,2006,MI
839,2006,PA
840,2006,AZ
841,2006,AL
842,2006,AZ
843,2006,SC
844,2006,CA
845,2006,CA
846,2006,GA
847,2006,CA
848,2006,CA
849,2006,PA
850,2006,IL
851,2006,TX
852,2006,AZ
853,2006,ND
854,2006,OH
855,2006,OH
856,2006,MT
857,2006,OR
858,2006,NC
859,2006,KS
860,2006,TX
861,2006,CA
862,2006,FL
863,2006,WA
864,2006,TX
865,2006,GA
866,2006,TX
867,2006,OH
868,2006,CA
869,2006,WA
870,2006,AZ
871,2006,NJ
872,2006,CA
873,2006,CA
874,2006,NV
875,2006,WA
876,2006,CA
877,2006,VA
878,2006,CO
879,2006,CA
880,2006,CA
881,2006,OR
882,2006,AL
883,2006,NC
884,2006,WA
885,2006,AZ
886,2006,WI
887,2006,NJ
888,2006,AZ
889,2006,MI
890,2006,CA
891,2006,AZ
892,2006,AZ
893,2006,NM
894,2006,NM
895,2006,PA
896,2006,NC
897,2006,FL
898,2006,FL
899,2006,WA
900,2006,WI
901,2006,IL
902,2006,WA
903,2006,CA
904,2006,WI
905,2006,CA
906,2006,MI
907,2006,CO
908,2006,CA
909,2006,SC
910,2006,SC
911,2006,CA
912,2006,GA
913,2006,SC
914,2006,MI
915,2006,CA
916,2006,OR
917,2006,MN
918,2006,NM
919,2006,CA
920,2006,MI
921,2006,WI
922,2006,IL
923,2006,NY
924,2006,NJ
925,2006,FL
926,2006,FL
927,2006,IL
928,2006,CA
929,2006,SC
930,2006,IA
931,2006,PA
932,2006,CA
933,2006,WI
934,2006,MA
935,2006,MA
936,2006,IL
937,2006,IA
938,2006,CA
939,2006,CA
940,2006,IL
941,2006,NE
943,2006,CA
944,2006,NJ
945,2006,ID
946,2006,SD
947,2006,FL
948,2006,WV
949,2006,IL
950,2006,ID
951,2006,WI
952,2006,WI
953,2006,MI
954,2006,NJ
955,2006,MT
956,2006,GA
957,2006,WA
958,2006,IL
959,2006,IL
960,2006,SC
961,2006,CA
962,2006,NY
963,2006,IL
964,2006,RI
965,2006,FL
966,2006,KS
967,2006,NY
968,2006,WA
969,2006,MD
970,2006,MO
971,2006,GA
972,2006,GA
973,2006,WA
974,2006,NV
975,2006,CA
976,2006,RI
977,2006,TN
978,2006,TX
979,2006,IL
980,2006,FL
981,2006,FL
982,2006,WY
983,2006,CT
984,2006,MI
985,2006,WI
986,2006,IL
987,2006,ID
988,2006,ID
989,2006,TX
990,2006,TN
991,2006,WA
992,2006,ID
993,2006,NM
994,2006,CA
995,2006,AZ
996,2006,AZ
997,2006,CA
998,2006,NY
999,2006,NM
1000,2006,OR
1001,2006,MI
1002,2006,CA
1003,2006,WA
1004,2006,MI
1005,2006,ID
1006,2006,CA
1007,2006,MN
1008,2006,WA
1009,2006,OR
1010,2006,OR
1011,2006,WA
1012,2006,WA
1013,2006,CA
1014,2006,AZ
1015,2006,OR
1016,2006,OH
1017,2006,CA
1018,2006,SC
1019,2006,CA
1020,2006,NE
1021,2006,PA
1022,2006,TX
1023,2006,FL
1024,2006,IA
1025,2006,CA
1026,2006,MO
1027,2006,CA
1028,2006,NC
1029,2006,TX
1030,2006,CA
1031,2006,NY
1032,2006,CA
1033,2006,WI
1034,2006,CT
1035,2006,LA
1036,2006,AZ
1037,2006,AR
1038,2006,OR
1039,2006,IA
1040,2006,FL
1041,2006,WA
1042,2006,FL
1043,2006,CA
1044,2006,MO
1045,2006,MO
1046,2006,MI
1047,2006,CA
1048,2006,CA
1049,2006,CA
1050,2006,GA
1051,2006,AZ
1052,2006,LA
1053,2006,MA
1054,2006,WI
1055,2006,TX
1056,2006,MD
1057,2006,GA
1058,2006,MA
1059,2006,CA
1060,2006,CO
1061,2006,CA
1062,2006,WA
1063,2006,NY
1064,2006,AZ
1065,2006,AZ
1066,2006,CA
1067,2006,TN
1068,2006,KS
1069,2006,CA
1070,2006,CA
1071,2006,CA
1072,2006,FL
1073,2006,WA
1074,2006,MO
1075,2006,CO
1076,2006,OR
1077,2006,TN
1078,2006,KS
1079,2006,NH
1080,2006,VT
1081,2006,OR
1082,2006,SC
1083,2006,TX
1084,2006,WA
1085,2006,MO
1086,2006,FL
1087,2006,MI
1088,2006,OK
1089,2006,FL
1090,2006,CA
1091,2006,TX
1092,2006,HI
1093,2006,ME
1094,2006,LA
1095,2006,KY
1096,2006,TX
1098,2006,TX
1099,2006,NY
1100,2006,TX
1101,2006,OH
1102,2006,AZ
1103,2006,IN
1104,2006,WA
1105,2006,ID
1106,2006,AZ
1107,2006,MN
1108,2006,FL
1109,2006,NE
1110,2006,IL
1111,2006,PA
1112,2006,NY
1113,2006,CA
1114,2006,OH
1115,2006,OR
1116,2006,TX
1117,2006,VA
1118,2006,CA
1120,2006,TX
1121,2006,TX
1122,2006,MA
1123,2006,TX
1124,2006,TN
1125,2006,OR
1126,2006,SC
1127,2006,WI
1128,2006,IN
1129,2006,CA
1130,2006,FL
1131,2006,WA
1132,2006,WA
1133,2006,CA
1134,2006,IL
1135,2006,TN
1136,2006,OH
1137,2006,PA
1138,2006,IL
1139,2006,MN
1140,2006,MN
1141,2006,MN
1142,2006,VA
1143,2006,CA
1144,2006,CA
1145,2006,OK
1146,2006,WV
1147,2006,CA
1148,2006,IN
1149,2006,TX
1150,2006,KY
1151,2006,MO
1152,2006,ME
1153,2006,TX
1154,2006,MI
1155,2006,WA
1156,2006,FL
1157,2006,KY
1158,2006,IA
1159,2006,IA
1160,2006,CA
1161,2006,PA
1162,2006,FL
1163,2006,TX
1164,2006,TX
1165,2006,VA
1166,2006,TN
1167,2006,WA
1168,2006,MI
1169,2006,MI
1170,2006,MT
1171,2006,AZ
1172,2006,AZ
1173,2006,AZ
1174,2006,NY
1175,2006,CA
1176,2006,MN
1177,2006,NJ
1178,2006,AL
1179,2006,PA
1180,2006,AR
1181,2006,PA
1182,2006,KY
1183,2006,CA
1184,2006,PA
1185,2006,FL
1186,2006,AL
1187,2006,PA
1188,2006,TX
1189,2006,CA
1190,2006,TX
1191,2006,TX
1192,2006,TX
1193,2006,IN
1194,2006,CA
1195,2006,FL
1196,2006,TX
1197,2006,TX
1198,2006,DE
1199,2006,NY
1200,2006,WA
1201,2006,CO
1202,2006,TX
1203,2006,MT
1204,2006,NJ
1205,2006,KY
1206,2006,NM
1207,2006,MD
1208,2006,PA
1209,2006,MT
1210,2006,CT
1211,2006,NY
1212,2006,PA
1213,2006,CA
1214,2006,PA
1215,2006,IL
1216,2006,MS
1217,2006,MI
1218,2006,IL
1219,2006,AZ
1220,2006,OR
1221,2006,NJ
1222,2006,WA
1223,2006,CO
1224,2006,CA
1225,2006,WA
1226,2006,IA
1227,2006,NH
1228,2006,MI
1229,2006,OH
1230,2006,OR
1232,2006,TX
1233,2006,WA
1234,2006,WA
1235,2006,NJ
1236,2006,MO
1237,2006,SC
1238,2006,MI
1239,2006,AL
1240,2006,WA
1241,2006,WY
1242,2006,CA
1243,2006,CA
1244,2006,WA
1245,2006,TX
1246,2006,IN
1247,2006,GA
1248,2006,AZ
1249,2006,NY
1250,2006,NY
1251,2006,NC
1252,2006,CA
1253,2006,WA
1254,2006,AR
1255,2006,OR
1256,2006,PA
1257,2006,WA
1258,2006,WA
1259,2006,IL
1260,2006,NE
1261,2006,ID
1262,2006,IL
1263,2006,CA
1264,2006,WA
1265,2006,NJ
1266,2006,TN
1267,2006,OH
1268,2006,CO
1269,2006,OH
1270,2006,PA
1271,2006,MO
1272,2006,NY
1273,2006,FL
1274,2006,OH
1275,2006,CA
1276,2006,TX
1277,2006,IN
1278,2006,TX
1279,2006,MI
1280,2006,CA
1281,2006,MA
1282,2006,TN
1283,2006,NH
1284,2006,CA
1285,2006,MA
1286,2006,IL
1287,2006,TX
1288,2006,AZ
1289,2006,MI
1290,2006,IN
1291,2006,CA
1292,2006,IL
1293,2006,OH
1294,2006,FL
1295,2006,UT
1296,2006,OR
1297,2006,CA
1298,2006,IN
1299,2006,PA
1300,2006,IL
1301,2006,NJ
1302,2006,NJ
1303,2006,CA
1304,2006,NE
1305,2006,WA
1306,2006,WA
1307,2006,WA
1308,2006,NY
1309,2006,MA
1310,2006,ND
1311,2006,ND
1312,2006,WA
1313,2006,CA
1314,2006,AR
1315,2006,OR
1316,2006,WA
1317,2006,CO
1318,2006,MI
1319,2006,WA
1320,2006,CA
1321,2006,CA
1322,2006,MO
1323,2006,CA
1324,2006,MN
1325,2006,NY
1326,2006,OR
1327,2006,MN
1328,2006,PA
1329,2006,CA
1330,2006,CA
1331,2006,MD
1332,2006,CA
1333,2006,CA
1334,2006,CA
1335,2006,UT
1336,2006,NE
1337,2006,NY
1338,2006,NY
1339,2006,TX
1340,2006,MI
1341,2006,CA
1342,2006,MI
1343,2006,WI
1344,2006,CA
1345,2006,PA
1346,2006,WV
1347,2006,NC
1348,2006,NJ
1349,2006,FL
1350,2006,PA
1351,2006,AL
1352,2006,NJ
1353,2006,FL
1354,2006,AZ
1355,2006,IL
1356,2006,TX
1357,2006,MI
1358,2006,MD
1359,2006,CA
1360,2006,CA
1361,2006,MI
1362,2006,CA
1363,2006,WY
1364,2006,NY
1365,2006,CT
1366,2006,FL
1367,2006,CA
1368,2006,NV
1369,2006,OK
1370,2006,IL
1371,2006,OR
1372,2006,MN
1373,2006,UT
1374,2006,WA
1375,2006,HI
1376,2006,CA
1377,2006,MO
1378,2006,MI
1379,2006,NC
1380,2006,TX
1381,2006,OR
1382,2006,MI
1383,2006,CA
1384,2006,FL
1385,2006,NY
1386,2006,CA
1387,2006,AZ
1388,2006,WA
1389,2006,CA
1390,2006,CA
1391,2006,IA
1392,2006,FL
1393,2006,CA
1394,2006,FL
1395,2006,AL
1396,2006,WA
1397,2006,CA
1398,2006,GA
1399,2006,WA
1400,2006,MI
1401,2006,CA
1402,2006,VA
1403,2006,WA
1404,2006,MT
1405,2006,CO
1406,2006,WI
1407,2006,TX
1408,2006,NE
1409,2006,CA
1410,2006,SC
1411,2006,GA
1412,2006,IL
1413,2006,KS
1414,2006,MN
1415,2006,WA
1416,2006,LA
1417,2006,IL
1418,2006,CA
1419,2006,GA
1420,2006,WA
1421,2006,FL
1422,2006,OK
1423,2006,PA
1424,2006,IL
1425,2006,AL
1426,2006,NY
1427,2006,WA
1428,2006,WA
1429,2006,WI
1430,2006,KY
1431,2006,SD
1432,2006,IL
1433,2006,NY
1434,2006,MI
1435,2006,CO
1436,2006,TX
1437,2006,CO
1438,2006,TX
1439,2006,CA
1440,2006,FL
1441,2006,CA
1442,2006,MI
1443,2006,CA
1444,2006,NV
1445,2006,MI
1446,2006,TX
1447,2006,NY
1448,2006,MI
1449,2006,TX
1450,2006,NC
1451,2006,VA
1452,2006,IL
1453,2006,MI
1454,2006,NC
1455,2006,WI
1456,2006,PA
1457,2006,CA
1458,2006,MN
1459,2006,NE
1460,2006,MD
1461,2006,CO
1462,2006,TN
1463,2006,CA
1464,2006,AZ
1465,2006,CA
1466,2006,KY
1467,2006,OH
1468,2006,CA
1469,2006,CA
1470,2006,CT
1471,2006,CA
1472,2006,CA
1473,2006,IL
1474,2006,FL
1475,2006,IL
1476,2006,OR
1477,2006,KS
1478,2006,IN
1479,2006,RI
1480,2006,OH
1481,2006,MI
1482,2006,CA
1483,2006,NY
1484,2006,WA
1485,2006,AZ
1486,2006,HI
1487,2006,AZ
1488,2006,NY
1489,2006,NH
1490,2006,WA
1491,2006,PA
1492,2006,ME
1493,2006,IL
1494,2006,MI
1495,2006,FL
1496,2006,CA
1497,2006,MN
1498,2006,PA
1499,2006,OK
1500,2006,ME
1501,2006,CA
1502,2006,CA
1503,2006,NC
1504,2006,CA
1506,2006,NJ
1507,2006,MI
1508,2006,TX
1509,2006,MO
1510,2006,TN
1511,2006,ID
1512,2006,PA
1513,2006,NY
1514,2006,OK
1515,2006,CA
1516,2006,MA
1517,2006,NV
1518,2006,IL
1519,2006,CT
1520,2006,CA
1521,2006,TX
1522,2006,CO
1523,2006,NM
1524,2006,CA
1525,2006,TX
1526,2006,TX
1527,2006,TN
1528,2006,AZ
1529,2006,VA
1530,2006,TN
1531,2006,FL
1532,2006,TX
1533,2006,PA
1534,2006,MI
1535,2006,IN
1536,2006,ME
1537,2006,IL
1538,2006,KY
1539,2006,AZ
1540,2006,CA
1541,2006,VA
1542,2006,TX
1543,2006,NY
1544,2006,KY
1545,2006,PA
1546,2006,CA
1547,2006,CA
1548,2006,PA
1549,2006,CA
1550,2006,UT
1551,2006,IL
1552,2006,NY
1553,2006,WA
1554,2006,CA
1555,2006,NV
1556,2006,MD
1557,2006,MD
1558,2006,CA
1559,2006,CA
1560,2006,CA
1561,2006,GA
1562,2006,VA
1563,2006,NV
1564,2006,CA
1565,2006,OR
1567,2006,IL
1568,2006,NY
1569,2006,TX
1570,2006,IL
1571,2006,TN
1572,2006,TX
1573,2006,GA
1574,2006,OR
1575,2006,TX
1576,2006,TX
1577,2006,FL
1578,2006,FL
1579,2006,ME
1580,2006,GA
1581,2006,IL
1582,2006,LA
1583,2006,IA
1584,2006,IL
1585,2006,TX
1586,2006,NJ
1587,2006,OH
1588,2006,CO
1589,2006,OH
1590,2006,OH
1591,2006,WA
1592,2006,TX
1593,2006,TX
1594,2006,CA
1595,2006,NY
1596,2006,CA
1597,2006,NJ
1598,2006,FL
1599,2006,FL
1600,2006,MA
1601,2006,CA
1602,2006,CO
1603,2006,MA
1604,2006,CA
1605,2006,AZ
1606,2006,CA
1607,2006,KY
1608,2006,WA
1609,2006,UT
1610,2006,MN
1611,2006,MS
1612,2006,CA
1613,2006,WA
1614,2006,CA
1615,2006,TX
1616,2006,MT
1617,2006,LA
1618,2006,TX
1619,2006,CA
1620,2006,NH
1621,2006,WA
1622,2006,MN
1623,2006,AZ
1624,2006,NY
1625,2006,IL
1626,2006,OR
1627,2006,OR
1628,2006,GA
1629,2006,TX
1630,2006,CA
1631,2006,CO
1632,2006,CA
1633,2006,NH
1634,2006,PA
1635,2006,CA
1636,2006,WA
1637,2006,TX
1638,2006,KY
1639,2006,MA
1640,2006,TX
1641,2006,ME
1642,2006,WA
1643,2006,TX
1644,2006,IL
1645,2006,NM
1646,2006,PA
1647,2006,NM
1648,2006,CT
1649,2006,NV
1650,2006,AR
1651,2006,TX
1652,2006,IA
1653,2006,TX
1654,2006,WA
1655,2006,WA
1656,2006,KS
1657,2006,HI
1658,2006,VA
1659,2006,CA
1660,2006,AK
1661,2006,AK
1662,2006,LA
1663,2006,NM
1664,2006,OH
1665,2006,IL
1666,2006,NM
1667,2006,UT
